 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Slice
213,0.610,1.346,0.139,1.170,1.169,1.652,13.552,17.580,13.557,17.580,2.721,1
214,0.620,1.639,0.406,1.274,1.176,2.609,28.315,17.552,28.315,17.550,2.780,1
215,0.760,1.312,0.099,1.225,1.172,1.515,46.774,17.536,46.770,17.539,3.580,1
216,0.430,1.298,0.104,1.177,1.170,1.525,18.790,17.566,18.787,17.570,2.356,1
217,0.840,1.411,0.166,1.322,1.180,1.761,45.175,18.024,45.173,18.029,3.321,1
218,1.130,1.695,0.434,1.174,1.171,2.769,22.319,18.086,22.302,18.102,4.063,1
219,0.310,1.207,0.024,1.172,1.171,1.253,34.550,17.750,34.549,17.750,1.931,1
220,0.330,1.225,0.037,1.203,1.171,1.289,1.271,17.886,1.271,17.886,2.014,1
221,0.220,1.179,0.008,1.175,1.169,1.197,6.632,17.927,6.632,17.927,2.156,1
222,1.270,1.571,0.343,1.251,1.170,2.426,20.851,18.385,20.861,18.360,4.604,1
223,0.460,1.203,0.023,1.170,1.170,1.266,11.563,18.117,11.561,18.119,3.038,1
224,0.870,1.390,0.164,1.226,1.175,1.759,4.519,18.361,4.513,18.356,3.463,1
225,0.530,1.254,0.054,1.272,1.174,1.351,27.558,18.354,27.559,18.353,2.838,1
226,0.200,1.236,0.050,1.273,1.169,1.333,50.280,18.235,50.280,18.234,1.556,1
227,0.280,1.214,0.027,1.223,1.170,1.257,32.746,18.371,32.746,18.372,1.873,1
228,0.570,1.284,0.081,1.192,1.174,1.455,43.220,18.571,43.219,18.572,2.721,1
229,0.320,1.191,0.012,1.177,1.170,1.220,9.916,18.631,9.916,18.632,2.356,1
230,1.100,1.517,0.319,1.222,1.171,2.306,48.116,18.770,48.096,18.785,4.004,1
231,0.450,1.206,0.031,1.178,1.170,1.293,37.637,18.579,37.633,18.580,2.956,1
232,0.300,1.225,0.031,1.208,1.173,1.274,15.043,18.720,15.043,18.720,1.990,1
233,0.380,1.307,0.109,1.172,1.172,1.533,0.426,18.945,0.426,18.941,2.214,1
234,0.200,1.201,0.024,1.179,1.170,1.244,2.755,18.940,2.755,18.940,1.531,1
235,0.830,1.316,0.098,1.277,1.175,1.557,25.492,19.292,25.493,19.289,3.663,1
236,1.040,1.473,0.245,1.173,1.172,2.012,34.083,19.307,34.088,19.303,3.746,1
237,0.270,1.222,0.037,1.199,1.175,1.294,7.957,19.087,7.957,19.086,1.814,1
238,1.160,1.480,0.235,1.200,1.171,1.957,11.231,19.584,11.235,19.583,4.228,1
239,0.530,1.252,0.050,1.183,1.182,1.357,23.607,19.350,23.605,19.350,3.063,1
240,0.160,1.208,0.027,1.172,1.172,1.255,30.825,19.206,30.825,19.207,1.390,1
241,0.610,1.419,0.189,1.236,1.176,1.832,46.468,19.407,46.470,19.408,2.814,1
242,0.480,1.276,0.080,1.172,1.171,1.445,13.131,19.504,13.128,19.504,2.497,1
243,0.850,1.433,0.232,1.199,1.169,1.998,6.576,19.675,6.590,19.670,3.438,1
244,0.170,1.206,0.027,1.170,1.170,1.252,18.285,19.403,18.285,19.403,1.449,1
245,0.640,1.247,0.073,1.169,1.169,1.436,28.991,19.605,28.984,19.611,3.121,1
246,0.460,1.210,0.025,1.202,1.169,1.259,50.059,19.998,50.059,19.998,2.556,1
247,0.780,1.385,0.193,1.170,1.169,1.847,16.355,20.168,16.360,20.163,3.321,1
248,0.510,1.292,0.090,1.208,1.169,1.494,44.703,20.001,44.700,20.007,2.614,1
249,1.060,1.382,0.173,1.285,1.171,1.829,9.386,20.562,9.387,20.571,4.028,1
250,0.450,1.218,0.032,1.176,1.169,1.278,27.010,20.168,27.009,20.168,2.414,1
251,0.850,1.475,0.233,1.172,1.170,2.024,37.511,20.459,37.508,20.468,3.263,1
252,0.940,1.390,0.161,1.191,1.169,1.766,42.694,20.527,42.697,20.529,3.546,1
253,0.490,1.242,0.047,1.182,1.176,1.332,4.309,20.415,4.309,20.416,2.497,1
254,0.170,1.202,0.018,1.204,1.178,1.235,32.362,20.191,32.362,20.191,1.390,1
255,0.270,1.232,0.047,1.170,1.169,1.319,21.750,20.372,21.749,20.373,1.814,1
256,0.500,1.290,0.089,1.181,1.180,1.473,14.620,20.614,14.619,20.617,2.556,1
257,0.320,1.242,0.051,1.189,1.169,1.343,2.594,20.775,2.594,20.775,2.014,1
258,0.790,1.347,0.140,1.412,1.175,1.679,25.159,20.906,25.156,20.912,3.204,1
259,0.280,1.204,0.025,1.170,1.170,1.250,48.014,20.689,48.014,20.690,1.873,1
260,0.220,1.194,0.015,1.173,1.173,1.216,19.995,20.736,19.995,20.736,1.673,1
261,0.590,1.275,0.074,1.259,1.169,1.473,45.923,21.125,45.919,21.119,3.204,1
262,0.170,1.216,0.027,1.211,1.171,1.257,7.774,21.003,7.774,21.003,1.531,1
263,0.660,1.297,0.113,1.177,1.171,1.572,40.859,21.194,40.855,21.198,2.980,1
264,0.700,1.364,0.148,1.178,1.177,1.683,12.777,21.330,12.773,21.334,3.063,1
265,1.050,1.265,0.069,1.181,1.169,1.444,38.946,21.790,38.941,21.794,4.911,1
266,0.900,1.537,0.261,1.284,1.172,2.110,17.939,21.524,17.941,21.521,3.463,1
267,0.640,1.227,0.034,1.250,1.170,1.288,23.272,21.623,23.271,21.625,2.838,1
268,0.780,1.388,0.182,1.178,1.169,1.811,28.478,21.622,28.476,21.620,3.238,1
269,0.570,1.229,0.059,1.194,1.169,1.374,5.987,21.857,5.995,21.856,3.580,1
270,0.180,1.199,0.020,1.173,1.173,1.231,11.178,21.711,11.178,21.711,1.473,1
271,1.210,1.262,0.058,1.224,1.172,1.403,19.660,22.581,19.657,22.581,4.911,1
272,0.310,1.209,0.023,1.205,1.171,1.261,26.618,22.147,26.617,22.148,2.297,1
273,0.290,1.208,0.026,1.169,1.169,1.256,37.081,22.095,37.082,22.094,2.073,1
274,0.560,1.234,0.047,1.176,1.172,1.347,44.609,21.982,44.604,21.984,3.180,1
275,0.300,1.213,0.036,1.170,1.170,1.282,21.437,22.207,21.436,22.208,2.073,1
276,0.470,1.240,0.038,1.248,1.172,1.299,31.954,22.282,31.954,22.282,2.414,1
277,0.170,1.201,0.021,1.170,1.170,1.236,3.938,22.226,3.938,22.226,1.473,1
278,0.610,1.247,0.046,1.198,1.176,1.340,8.935,22.384,8.934,22.386,2.756,1
279,0.800,1.476,0.258,1.180,1.174,2.070,14.225,22.600,14.225,22.599,3.121,1
280,0.200,1.245,0.053,1.170,1.170,1.339,48.455,22.325,48.457,22.325,1.531,1
281,0.750,1.295,0.087,1.172,1.172,1.473,24.627,22.762,24.623,22.760,3.121,1
282,0.540,1.280,0.098,1.189,1.172,1.498,42.044,22.635,42.037,22.638,2.780,1
283,0.570,1.264,0.059,1.200,1.172,1.384,30.069,22.932,30.069,22.936,2.697,1
284,0.440,1.244,0.053,1.172,1.172,1.379,1.986,23.070,1.986,23.075,2.521,1
285,0.600,1.240,0.042,1.198,1.176,1.319,12.612,23.073,12.609,23.073,3.380,1
286,0.210,1.203,0.022,1.170,1.170,1.241,40.688,22.921,40.688,22.921,1.673,1
287,0.380,1.258,0.069,1.170,1.170,1.404,7.321,23.076,7.326,23.076,2.273,1
288,0.270,1.286,0.076,1.176,1.175,1.428,6.143,23.209,6.143,23.209,1.790,1
289,0.660,1.321,0.099,1.220,1.173,1.501,17.468,23.309,17.466,23.311,3.004,1
290,0.450,1.256,0.066,1.170,1.170,1.385,45.623,23.239,45.622,23.238,2.473,1
291,0.680,1.357,0.150,1.308,1.173,1.726,22.785,23.459,22.779,23.465,3.038,1
292,0.740,1.398,0.203,1.171,1.169,1.903,48.999,23.481,48.994,23.477,3.238,1
293,0.750,1.317,0.113,1.224,1.172,1.613,15.505,23.843,15.508,23.852,3.804,1
294,0.180,1.239,0.046,1.222,1.169,1.323,48.050,23.417,48.050,23.417,1.449,1
295,0.280,1.193,0.013,1.202,1.170,1.214,33.450,23.600,33.450,23.599,2.014,1
296,0.580,1.359,0.154,1.228,1.169,1.713,5.166,23.845,5.164,23.846,2.780,1
297,0.730,1.340,0.131,1.175,1.174,1.641,10.473,23.912,10.471,23.919,3.121,1
298,0.700,1.259,0.049,1.258,1.169,1.355,31.613,24.106,31.616,24.106,3.546,1
299,0.730,1.402,0.188,1.464,1.169,1.834,36.479,24.210,36.473,24.206,3.097,1
300,0.400,1.248,0.064,1.175,1.169,1.377,43.943,24.000,43.941,24.000,2.273,1
301,0.580,1.231,0.044,1.179,1.173,1.326,8.372,24.252,8.369,24.249,2.721,1
302,0.290,1.220,0.029,1.211,1.174,1.264,26.105,24.050,26.105,24.051,1.990,1
303,0.170,1.185,0.011,1.170,1.170,1.206,3.450,24.221,3.450,24.220,1.649,1
304,0.340,1.238,0.042,1.212,1.169,1.319,27.703,24.300,27.702,24.299,2.356,1
305,0.220,1.284,0.068,1.182,1.182,1.415,37.559,24.259,37.560,24.259,1.590,1
306,0.660,1.260,0.057,1.184,1.170,1.373,19.218,24.639,19.221,24.640,2.980,1
307,0.230,1.223,0.040,1.171,1.170,1.298,47.085,24.611,47.085,24.612,1.673,1
308,0.640,1.222,0.035,1.185,1.169,1.293,24.308,24.678,24.304,24.680,3.238,1
309,0.630,1.294,0.103,1.194,1.171,1.532,29.599,24.921,29.599,24.927,2.863,1
310,0.440,1.206,0.024,1.200,1.170,1.254,40.018,24.830,40.018,24.830,2.438,1
311,1.400,1.451,0.215,1.337,1.171,1.964,45.305,25.270,45.314,25.263,4.994,1
312,0.660,1.363,0.152,1.179,1.178,1.711,1.580,25.029,1.580,25.034,3.004,1
313,0.540,1.255,0.059,1.171,1.169,1.373,34.920,24.894,34.919,24.896,2.780,1
314,0.620,1.307,0.101,1.172,1.172,1.516,42.045,25.045,42.047,25.049,2.980,1
315,0.380,1.223,0.036,1.193,1.172,1.293,11.889,25.087,11.888,25.086,2.297,1
316,0.720,1.477,0.238,1.171,1.169,1.989,17.224,25.235,17.222,25.242,3.063,1
317,0.410,1.267,0.065,1.180,1.178,1.394,50.516,25.140,50.514,25.141,2.356,1
318,0.230,1.227,0.045,1.186,1.171,1.308,6.572,25.180,6.572,25.181,1.673,1
319,1.230,1.333,0.135,1.211,1.170,1.726,4.461,25.552,4.441,25.547,5.170,1
320,0.280,1.196,0.013,1.201,1.169,1.214,22.504,25.414,22.504,25.414,1.814,1
321,0.400,1.248,0.054,1.237,1.173,1.362,27.663,25.498,27.660,25.499,2.356,1
322,1.040,1.702,0.414,1.173,1.170,2.607,15.387,25.850,15.393,25.853,3.687,1
323,0.600,1.297,0.096,1.193,1.171,1.502,32.905,25.670,32.905,25.672,2.804,1
324,0.710,1.342,0.122,1.201,1.170,1.598,38.265,25.750,38.265,25.752,2.980,1
325,0.750,1.411,0.180,1.170,1.169,1.783,48.582,25.891,48.580,25.893,3.146,1
326,0.450,1.238,0.049,1.197,1.173,1.358,10.186,25.843,10.183,25.845,2.580,1
327,0.290,1.267,0.065,1.305,1.179,1.399,43.309,25.809,43.309,25.809,1.873,1
328,0.230,1.207,0.019,1.169,1.169,1.238,20.615,25.924,20.616,25.924,1.790,1
329,0.600,1.231,0.037,1.198,1.169,1.297,25.762,26.070,25.761,26.069,2.780,1
330,0.390,1.257,0.056,1.220,1.173,1.361,31.029,26.129,31.027,26.129,2.238,1
331,0.320,1.375,0.131,1.503,1.214,1.633,6.300,26.100,6.302,26.099,1.931,1
332,1.080,1.313,0.132,1.181,1.169,1.662,23.744,26.956,23.739,26.977,5.111,1
333,0.780,1.375,0.161,1.186,1.176,1.744,36.327,26.291,36.318,26.297,3.238,1
334,0.410,1.228,0.036,1.185,1.171,1.288,2.901,26.257,2.900,26.258,2.297,1
335,0.420,1.236,0.040,1.177,1.169,1.315,18.669,26.564,18.668,26.565,2.273,1
336,0.260,1.191,0.013,1.171,1.171,1.211,13.365,26.515,13.365,26.515,1.990,1
337,0.430,1.273,0.073,1.179,1.178,1.423,46.922,26.597,46.923,26.600,2.331,1
338,0.960,1.290,0.078,1.226,1.170,1.499,21.664,27.003,21.660,26.999,3.804,1
339,0.400,1.241,0.046,1.241,1.169,1.325,11.468,26.935,11.467,26.936,2.331,1
340,0.580,1.367,0.155,1.176,1.175,1.708,17.005,26.959,17.011,26.954,2.804,1
341,0.500,1.229,0.036,1.173,1.170,1.298,34.306,26.888,34.304,26.887,2.497,1
342,0.450,1.226,0.045,1.169,1.169,1.333,39.792,27.032,39.791,27.034,2.414,1
343,0.270,1.192,0.013,1.196,1.169,1.216,50.350,27.150,50.350,27.150,1.931,1
344,0.210,1.186,0.010,1.170,1.170,1.202,43.783,27.107,43.783,27.107,1.673,1
345,0.160,1.218,0.033,1.206,1.169,1.272,14.125,27.288,14.125,27.288,1.390,1
346,0.550,1.296,0.094,1.348,1.170,1.495,27.308,27.486,27.307,27.488,2.780,1
347,0.850,1.232,0.048,1.172,1.171,1.350,4.589,27.915,4.586,27.910,4.087,1
348,0.250,1.211,0.022,1.213,1.170,1.243,37.870,27.442,37.869,27.442,1.790,1
349,0.400,1.227,0.033,1.190,1.174,1.285,14.930,27.703,14.930,27.702,2.356,1
350,0.260,1.238,0.049,1.217,1.169,1.328,9.515,27.885,9.516,27.885,1.873,1
351,1.080,1.380,0.134,1.190,1.169,1.660,30.819,28.051,30.822,28.053,3.980,1
352,0.660,1.395,0.169,1.348,1.178,1.756,35.756,28.148,35.751,28.146,2.897,1
353,0.190,1.209,0.026,1.191,1.173,1.257,48.266,28.034,48.265,28.034,1.473,1
354,0.810,1.443,0.245,1.202,1.171,2.008,2.309,28.299,2.294,28.302,3.346,1
355,0.670,1.285,0.092,1.170,1.170,1.503,13.089,28.329,13.096,28.330,3.038,1
356,0.610,1.268,0.071,1.173,1.170,1.395,25.398,28.314,25.397,28.316,2.814,1
357,0.260,1.318,0.096,1.221,1.198,1.504,22.500,28.450,22.499,28.452,1.731,1
358,0.410,1.217,0.036,1.170,1.170,1.295,28.670,28.572,28.670,28.571,2.414,1
359,0.270,1.248,0.047,1.174,1.173,1.331,41.094,28.457,41.094,28.458,1.790,1
360,0.160,1.191,0.015,1.206,1.173,1.219,23.650,28.500,23.650,28.500,1.331,1
361,0.280,1.272,0.079,1.242,1.172,1.437,1.100,28.650,1.102,28.649,1.849,1
362,0.280,1.308,0.095,1.212,1.172,1.489,38.043,28.636,38.043,28.635,1.873,1
363,0.220,1.230,0.041,1.249,1.170,1.302,46.314,28.618,46.314,28.618,1.673,1
364,0.430,1.223,0.034,1.188,1.171,1.280,49.845,28.848,49.845,28.848,2.497,1
365,0.560,1.319,0.109,1.186,1.169,1.546,33.984,28.932,33.981,28.934,2.721,1
366,0.350,1.210,0.027,1.174,1.171,1.260,16.447,28.984,16.447,28.983,2.214,1
367,0.240,1.202,0.018,1.232,1.169,1.232,11.117,29.113,11.116,29.113,1.790,1
368,0.150,1.180,0.008,1.170,1.170,1.193,44.477,29.023,44.476,29.023,1.473,1
369,0.570,1.313,0.097,1.218,1.181,1.517,21.590,29.322,21.591,29.322,2.697,1
370,0.710,1.256,0.052,1.222,1.169,1.361,32.139,29.502,32.137,29.502,3.063,1
371,0.710,1.450,0.228,1.313,1.171,1.970,9.157,29.730,9.152,29.736,3.014,1
372,0.250,1.289,0.080,1.246,1.174,1.440,37.318,29.626,37.318,29.626,1.756,1
373,0.690,1.445,0.212,1.175,1.173,1.914,24.969,29.949,24.968,29.957,2.956,1
374,0.270,1.190,0.012,1.180,1.170,1.210,47.880,29.791,47.879,29.791,1.931,1
375,0.590,1.239,0.044,1.232,1.171,1.338,2.114,30.103,2.111,30.101,2.697,1
376,0.630,1.296,0.102,1.171,1.171,1.537,30.169,30.148,30.167,30.151,2.863,1
377,0.150,1.197,0.015,1.169,1.169,1.222,19.710,30.010,19.709,30.011,1.307,1
378,0.770,1.494,0.286,1.183,1.181,2.186,26.701,30.376,26.704,30.373,3.180,1
379,0.460,1.282,0.070,1.235,1.170,1.423,12.437,30.272,12.433,30.272,2.473,1
380,0.920,1.444,0.184,1.363,1.180,1.819,23.357,30.415,23.361,30.415,3.580,1
381,0.850,1.369,0.190,1.170,1.169,1.840,46.123,30.514,46.111,30.509,3.663,1
382,0.680,1.329,0.125,1.182,1.170,1.610,17.790,30.593,17.787,30.592,3.038,1
383,0.620,1.366,0.148,1.177,1.174,1.683,28.335,30.732,28.336,30.732,2.780,1
384,0.300,1.225,0.032,1.171,1.171,1.279,33.633,30.707,33.634,30.707,1.990,1
385,0.840,1.275,0.065,1.189,1.172,1.407,16.167,31.013,16.163,31.015,3.663,1
386,0.630,1.309,0.096,1.345,1.172,1.520,21.098,31.177,21.096,31.180,2.921,1
387,0.150,1.213,0.033,1.175,1.173,1.273,38.763,31.003,38.763,31.004,1.331,1
388,0.540,1.321,0.116,1.223,1.169,1.559,41.059,31.320,41.060,31.319,2.697,1
389,0.660,1.275,0.082,1.177,1.170,1.471,14.006,31.536,14.001,31.536,3.038,1
390,0.360,1.298,0.096,1.194,1.171,1.477,43.161,31.428,43.162,31.427,2.156,1
391,0.300,1.209,0.031,1.205,1.169,1.279,31.420,31.453,31.418,31.453,2.097,1
392,0.250,1.283,0.085,1.185,1.171,1.455,46.154,31.510,46.154,31.512,1.731,1
393,0.300,1.245,0.057,1.204,1.172,1.353,8.780,31.757,8.779,31.758,1.990,1
394,0.520,1.205,0.024,1.178,1.169,1.257,19.363,31.823,19.366,31.824,2.614,1
395,0.190,1.213,0.035,1.170,1.170,1.276,2.839,31.939,2.840,31.940,1.673,1
396,0.500,1.257,0.062,1.179,1.173,1.406,29.878,32.064,29.874,32.066,2.556,1
397,0.500,1.328,0.132,1.170,1.169,1.618,1.612,32.202,1.607,32.202,2.580,1
398,0.490,1.303,0.109,1.194,1.173,1.545,45.585,32.438,45.583,32.439,2.556,1
399,1.040,1.432,0.191,1.181,1.175,1.846,4.773,32.827,4.763,32.829,3.863,1
400,0.190,1.186,0.013,1.170,1.170,1.211,33.192,32.518,33.191,32.518,1.531,1
401,1.070,1.381,0.203,1.171,1.170,2.031,37.969,32.780,37.945,32.774,4.770,1
402,1.320,1.518,0.313,1.172,1.169,2.430,10.827,32.895,10.852,32.907,4.321,1
403,0.480,1.239,0.050,1.176,1.170,1.333,20.654,33.035,20.653,33.033,2.497,1
404,0.960,1.431,0.181,1.267,1.184,1.819,46.938,33.411,46.934,33.421,3.897,1
405,0.530,1.221,0.050,1.171,1.171,1.345,49.295,33.024,49.301,33.024,2.780,1
406,0.460,1.291,0.097,1.212,1.170,1.507,15.470,33.120,15.466,33.121,2.414,1
407,0.540,1.320,0.130,1.182,1.169,1.603,43.656,33.161,43.653,33.165,2.697,1
408,0.300,1.206,0.027,1.171,1.171,1.263,26.033,33.213,26.032,33.214,1.956,1
409,0.770,1.259,0.068,1.177,1.173,1.408,31.002,33.408,30.993,33.412,3.663,1
410,0.880,1.460,0.229,1.516,1.171,1.977,41.836,33.562,41.834,33.571,3.404,1
411,1.110,1.347,0.135,1.219,1.171,1.719,2.951,33.598,2.960,33.607,4.087,1
412,0.580,1.291,0.102,1.176,1.170,1.533,13.581,33.647,13.580,33.656,2.897,1
413,0.460,1.217,0.028,1.211,1.171,1.268,8.567,33.670,8.566,33.669,2.721,1
414,0.410,1.205,0.020,1.178,1.169,1.241,18.828,33.509,18.828,33.508,2.780,1
415,0.230,1.245,0.051,1.174,1.174,1.332,36.685,33.559,36.684,33.560,1.731,1
416,1.100,1.457,0.239,1.198,1.172,2.180,45.354,34.201,45.367,34.213,4.146,1
417,0.570,1.257,0.070,1.248,1.170,1.439,0.429,34.092,0.429,34.084,3.463,1
418,1.000,1.857,0.698,1.175,1.170,3.810,34.897,34.042,34.905,34.048,3.546,1
419,1.060,1.722,0.489,1.173,1.169,2.926,17.005,34.355,17.008,34.349,3.721,1
420,1.000,1.464,0.234,1.221,1.176,1.965,40.158,34.493,40.169,34.506,3.746,1
421,0.410,1.233,0.052,1.177,1.170,1.357,11.667,34.352,11.664,34.353,2.580,1
422,0.470,1.238,0.054,1.287,1.172,1.366,50.446,34.573,50.446,34.578,2.649,1
423,0.590,1.300,0.099,1.257,1.170,1.522,27.555,34.686,27.555,34.689,2.756,1
424,1.000,1.388,0.198,1.183,1.170,1.891,32.327,34.688,32.303,34.690,4.204,1
425,0.210,1.205,0.021,1.169,1.169,1.239,38.069,34.636,38.070,34.636,1.590,1
426,0.450,1.255,0.070,1.182,1.173,1.411,4.552,34.879,4.547,34.878,2.438,1
427,0.380,1.239,0.043,1.279,1.170,1.317,43.284,34.813,43.284,34.812,2.238,1
428,0.550,1.456,0.233,1.207,1.181,1.969,21.399,34.977,21.400,34.977,2.697,1
429,0.580,1.327,0.133,1.178,1.173,1.632,20.324,35.116,20.320,35.120,2.697,1
430,0.180,1.195,0.018,1.172,1.172,1.231,30.550,35.000,30.549,34.999,1.814,1
431,0.250,1.279,0.068,1.197,1.179,1.396,15.130,35.090,15.131,35.091,1.814,1
432,0.720,1.294,0.101,1.290,1.175,1.593,48.639,35.507,48.644,35.518,3.521,1
433,0.480,1.232,0.042,1.172,1.171,1.311,36.348,35.356,36.349,35.358,2.638,1
434,1.190,1.560,0.365,1.192,1.169,2.500,18.463,35.671,18.477,35.685,4.653,1
435,0.220,1.188,0.011,1.177,1.171,1.207,25.827,35.264,25.827,35.264,1.731,1
436,0.170,1.206,0.023,1.175,1.175,1.246,2.926,35.409,2.927,35.409,1.531,1
437,0.550,1.286,0.070,1.216,1.176,1.444,13.150,35.625,13.152,35.626,2.614,1
438,0.390,1.221,0.038,1.198,1.170,1.297,23.678,35.560,23.678,35.559,2.321,1
439,0.260,1.222,0.037,1.192,1.174,1.295,41.650,35.600,41.650,35.600,1.731,1
440,0.450,1.278,0.084,1.212,1.170,1.469,46.594,35.666,46.591,35.670,2.531,1
441,0.670,1.269,0.068,1.170,1.169,1.396,0.863,35.853,0.864,35.852,2.980,1
442,0.820,1.322,0.131,1.175,1.174,1.639,29.204,35.935,29.195,35.937,3.663,1
443,0.160,1.202,0.021,1.209,1.170,1.239,39.575,35.806,39.575,35.806,1.390,1
444,0.660,1.349,0.133,1.201,1.171,1.664,6.073,36.153,6.074,36.157,2.838,1
445,0.230,1.199,0.020,1.217,1.169,1.237,11.420,36.072,11.420,36.071,1.814,1
446,0.170,1.227,0.042,1.261,1.172,1.303,43.703,35.938,43.703,35.938,1.556,1
447,0.950,1.307,0.096,1.173,1.171,1.537,26.795,36.347,26.797,36.351,3.863,1
448,0.390,1.260,0.062,1.207,1.171,1.394,44.704,36.306,44.702,36.309,2.214,1
449,0.270,1.249,0.054,1.194,1.174,1.345,16.409,36.406,16.409,36.406,1.814,1
450,0.330,1.231,0.040,1.175,1.174,1.303,32.283,36.405,32.282,36.404,2.097,1
451,0.270,1.216,0.033,1.237,1.171,1.283,37.469,36.606,37.468,36.605,1.956,1
452,0.350,1.193,0.014,1.176,1.172,1.219,9.484,36.727,9.484,36.727,2.214,1
453,0.440,1.276,0.077,1.172,1.171,1.435,21.675,36.736,21.672,36.739,2.356,1
454,0.310,1.195,0.019,1.173,1.171,1.246,4.244,37.021,4.244,37.023,2.414,1
455,0.430,1.317,0.116,1.171,1.170,1.547,42.906,36.971,42.905,36.973,2.297,1
456,0.420,1.210,0.025,1.192,1.169,1.258,25.162,37.086,25.161,37.087,2.356,1
457,0.410,1.284,0.085,1.184,1.173,1.457,19.926,37.221,19.925,37.221,2.297,1
458,0.370,1.207,0.026,1.169,1.169,1.252,30.636,37.269,30.637,37.269,2.156,1
459,0.980,1.259,0.069,1.183,1.171,1.454,7.742,37.440,7.735,37.443,3.946,1
460,0.450,1.312,0.125,1.175,1.169,1.602,12.086,37.374,12.083,37.373,2.414,1
461,0.720,1.363,0.149,1.190,1.169,1.680,23.347,37.715,23.353,37.716,2.980,1
462,0.730,1.383,0.171,1.198,1.170,1.793,33.899,37.692,33.901,37.686,3.063,1
463,1.090,1.474,0.253,1.204,1.178,2.181,35.712,37.911,35.704,37.935,3.980,1
464,0.230,1.210,0.035,1.177,1.170,1.284,2.420,37.572,2.420,37.571,1.673,1
465,0.580,1.278,0.081,1.172,1.172,1.439,41.002,37.710,40.997,37.713,2.897,1
466,0.390,1.248,0.051,1.205,1.169,1.336,28.596,37.773,28.596,37.772,2.214,1
467,0.300,1.213,0.033,1.194,1.171,1.281,26.777,38.067,26.776,38.064,2.273,1
468,0.630,1.345,0.127,1.182,1.175,1.601,39.290,38.112,39.293,38.114,2.921,1
469,0.480,1.218,0.033,1.189,1.175,1.286,44.538,38.075,44.536,38.073,2.980,1
470,0.850,1.333,0.117,1.183,1.174,1.631,16.152,38.370,16.157,38.381,3.546,1
471,0.500,1.230,0.037,1.171,1.170,1.300,21.484,38.350,21.485,38.350,2.614,1
472,0.310,1.268,0.070,1.192,1.171,1.399,49.589,38.389,49.588,38.388,1.990,1
473,0.290,1.228,0.041,1.169,1.169,1.303,3.891,38.536,3.892,38.537,1.873,1
474,0.770,1.272,0.062,1.213,1.170,1.405,31.723,38.797,31.720,38.800,3.604,1
475,0.690,1.326,0.101,1.183,1.170,1.513,42.404,38.676,42.399,38.674,3.014,1
476,0.760,1.341,0.133,1.248,1.173,1.656,9.151,38.895,9.154,38.901,3.146,1
477,0.620,1.371,0.150,1.214,1.169,1.684,37.205,38.811,37.204,38.813,2.838,1
478,0.830,1.408,0.181,1.205,1.173,1.822,29.950,39.101,29.951,39.107,3.463,1
479,0.600,1.250,0.065,1.169,1.169,1.401,47.848,38.963,47.846,38.966,2.780,1
480,0.360,1.201,0.021,1.202,1.169,1.238,19.592,38.947,19.592,38.948,2.356,1
481,0.560,1.225,0.030,1.232,1.174,1.285,24.811,39.021,24.811,39.022,2.721,1
482,0.920,1.422,0.186,1.279,1.170,1.879,2.111,39.282,2.121,39.269,3.604,1
483,0.340,1.248,0.066,1.174,1.172,1.376,14.147,39.038,14.144,39.041,2.356,1
484,1.220,1.283,0.101,1.187,1.169,1.570,43.609,39.820,43.613,39.830,5.218,1
485,0.730,1.270,0.063,1.233,1.169,1.393,12.425,39.397,12.427,39.397,3.204,1
486,0.740,1.346,0.132,1.181,1.169,1.667,40.592,39.414,40.590,39.419,3.121,1
487,0.640,1.279,0.068,1.173,1.172,1.398,45.989,39.283,45.988,39.282,2.980,1
488,0.380,1.210,0.025,1.222,1.171,1.254,7.132,39.237,7.133,39.236,2.356,1
489,1.410,1.379,0.202,1.345,1.169,2.058,49.533,39.773,49.547,39.755,5.111,1
490,1.150,1.745,0.516,1.250,1.173,3.037,17.704,39.695,17.710,39.702,3.804,1
491,0.940,1.293,0.091,1.171,1.170,1.532,23.164,39.532,23.172,39.530,3.887,1
492,0.230,1.218,0.035,1.169,1.169,1.290,34.915,39.511,34.913,39.513,1.897,1
493,0.250,1.236,0.044,1.173,1.173,1.317,33.430,39.726,33.429,39.727,1.731,1
494,0.910,1.459,0.226,1.203,1.182,1.997,5.119,40.082,5.123,40.085,3.404,1
495,0.350,1.228,0.035,1.182,1.171,1.290,38.719,40.159,38.719,40.159,2.073,1
496,0.290,1.246,0.057,1.199,1.169,1.363,10.850,40.174,10.851,40.175,1.873,1
497,0.560,1.226,0.038,1.191,1.170,1.301,3.270,40.602,3.268,40.604,2.756,1
498,0.750,1.377,0.158,1.178,1.170,1.725,14.106,40.763,14.110,40.767,3.038,1
499,0.310,1.274,0.077,1.210,1.176,1.421,31.515,40.624,31.514,40.627,1.956,1
500,0.480,1.251,0.063,1.178,1.171,1.389,36.810,40.685,36.809,40.688,2.556,1
501,0.600,1.372,0.164,1.179,1.169,1.737,19.330,40.840,19.333,40.837,2.838,1
502,0.580,1.363,0.171,1.247,1.174,1.748,34.888,40.950,34.888,40.944,2.697,1
